dir	ps	h	m	opts
runs/updated2014lowerwtstagandlf/18_M0.9_steepness0.9_PS1	1	0.9	0.9	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/1_M0.7_steepness0.7_PS0	0	0.7	0.7	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/2_M0.8_steepness0.7_PS0	0	0.7	0.8	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/3_M0.9_steepness0.7_PS0	0	0.7	0.9	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/4_M0.7_steepness0.8_PS0	0	0.8	0.7	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/5_M0.8_steepness0.8_PS0	0	0.8	0.8	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/6_M0.9_steepness0.8_PS0	0	0.8	0.9	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/7_M0.7_steepness0.9_PS0	0	0.9	0.7	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/8_M0.8_steepness0.9_PS0	0	0.9	0.8	updated2014lowerwtstagandlf
runs/updated2014lowerwtstagandlf/9_M0.9_steepness0.9_PS0	0	0.9	0.9	updated2014lowerwtstagandlf
runs/updated2014noLengthcomps/10_M0.7_steepness0.7_PS1	1	0.7	0.7	updated2014noLengthcomps
runs/updated2014noLengthcomps/11_M0.8_steepness0.7_PS1	1	0.7	0.8	updated2014noLengthcomps
runs/updated2014noLengthcomps/12_M0.9_steepness0.7_PS1	1	0.7	0.9	updated2014noLengthcomps
runs/updated2014noLengthcomps/13_M0.7_steepness0.8_PS1	1	0.8	0.7	updated2014noLengthcomps
runs/updated2014noLengthcomps/14_M0.8_steepness0.8_PS1	1	0.8	0.8	updated2014noLengthcomps
runs/updated2014noLengthcomps/15_M0.9_steepness0.8_PS1	1	0.8	0.9	updated2014noLengthcomps
runs/updated2014noLengthcomps/16_M0.7_steepness0.9_PS1	1	0.9	0.7	updated2014noLengthcomps
runs/updated2014noLengthcomps/17_M0.8_steepness0.9_PS1	1	0.9	0.8	updated2014noLengthcomps
runs/updated2014noLengthcomps/18_M0.9_steepness0.9_PS1	1	0.9	0.9	updated2014noLengthcomps
runs/updated2014noLengthcomps/1_M0.7_steepness0.7_PS0	0	0.7	0.7	updated2014noLengthcomps
runs/updated2014noLengthcomps/2_M0.8_steepness0.7_PS0	0	0.7	0.8	updated2014noLengthcomps
runs/updated2014noLengthcomps/3_M0.9_steepness0.7_PS0	0	0.7	0.9	updated2014noLengthcomps
runs/updated2014noLengthcomps/4_M0.7_steepness0.8_PS0	0	0.8	0.7	updated2014noLengthcomps
runs/updated2014noLengthcomps/5_M0.8_steepness0.8_PS0	0	0.8	0.8	updated2014noLengthcomps
runs/updated2014noLengthcomps/6_M0.9_steepness0.8_PS0	0	0.8	0.9	updated2014noLengthcomps
runs/updated2014noLengthcomps/7_M0.7_steepness0.9_PS0	0	0.9	0.7	updated2014noLengthcomps
runs/updated2014noLengthcomps/8_M0.8_steepness0.9_PS0	0	0.9	0.8	updated2014noLengthcomps
runs/updated2014noLengthcomps/9_M0.9_steepness0.9_PS0	0	0.9	0.9	updated2014noLengthcomps
runs/updated2014notags/10_M0.7_steepness0.7_PS1	1	0.7	0.7	updated2014notags
runs/updated2014notags/11_M0.8_steepness0.7_PS1	1	0.7	0.8	updated2014notags
runs/updated2014notags/12_M0.9_steepness0.7_PS1	1	0.7	0.9	updated2014notags
runs/updated2014notags/13_M0.7_steepness0.8_PS1	1	0.8	0.7	updated2014notags
runs/updated2014notags/14_M0.8_steepness0.8_PS1	1	0.8	0.8	updated2014notags
runs/updated2014notags/15_M0.9_steepness0.8_PS1	1	0.8	0.9	updated2014notags
runs/updated2014notags/16_M0.7_steepness0.9_PS1	1	0.9	0.7	updated2014notags
runs/updated2014notags/17_M0.8_steepness0.9_PS1	1	0.9	0.8	updated2014notags
runs/updated2014notags/18_M0.9_steepness0.9_PS1	1	0.9	0.9	updated2014notags
runs/updated2014notags/1_M0.7_steepness0.7_PS0	0	0.7	0.7	updated2014notags
runs/updated2014notags/2_M0.8_steepness0.7_PS0	0	0.7	0.8	updated2014notags
runs/updated2014notags/3_M0.9_steepness0.7_PS0	0	0.7	0.9	updated2014notags
runs/updated2014notags/4_M0.7_steepness0.8_PS0	0	0.8	0.7	updated2014notags
runs/updated2014notags/5_M0.8_steepness0.8_PS0	0	0.8	0.8	updated2014notags
runs/updated2014notags/6_M0.9_steepness0.8_PS0	0	0.8	0.9	updated2014notags
runs/updated2014notags/7_M0.7_steepness0.9_PS0	0	0.9	0.7	updated2014notags
runs/updated2014notags/8_M0.8_steepness0.9_PS0	0	0.9	0.8	updated2014notags
runs/updated2014notags/9_M0.9_steepness0.9_PS0	0	0.9	0.9	updated2014notags
