area	method	year	quarter	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63	p64	p65	p66	p67	p68	p69	p70	p71	p72	p73	p74	p75	p76	p77	p78	p79	p80	num
M	PL	1989	3	0	0	0	0	0	0	0	0	0	0	0	0.00251256281407035	0.00251256281407035	0	0	0.0050251256281407	0.0050251256281407	0.00753768844221105	0.00753768844221105	0.0351758793969849	0.0351758793969849	0.0527638190954774	0.0527638190954774	0.0251256281407035	0.0251256281407035	0.0226130653266332	0.0226130653266332	0.0201005025125628	0.0201005025125628	0.042713567839196	0.042713567839196	0.0326633165829146	0.0326633165829146	0.0125628140703518	0.0125628140703518	0.00753768844221105	0.00753768844221105	0.00753768844221105	0.00753768844221105	0.0226130653266332	0.0226130653266332	0.0201005025125628	0.0201005025125628	0.0201005025125628	0.0201005025125628	0.0301507537688442	0.0301507537688442	0.0477386934673367	0.0477386934673367	0.0301507537688442	0.0301507537688442	0.0175879396984925	0.0175879396984925	0.0276381909547739	0.0276381909547739	0.00753768844221105	0.00753768844221105	0.00251256281407035	0.00251256281407035	0	0	398
M	PL	1989	4	0	0	0	0	0	0	0	0	0	0.00088339222614841	0.00088339222614841	0.00265017667844523	0.00265017667844523	0.00441696113074205	0.00441696113074205	0.00706713780918728	0.00706713780918728	0.0114840989399293	0.0114840989399293	0.0132508833922261	0.0132508833922261	0.0203180212014134	0.0203180212014134	0.0282685512367491	0.0282685512367491	0.0618374558303887	0.0618374558303887	0.0477031802120141	0.0477031802120141	0.0742049469964664	0.0742049469964664	0.0556537102473498	0.0556537102473498	0.0220848056537102	0.0220848056537102	0.0114840989399293	0.0114840989399293	0.0123674911660777	0.0123674911660777	0.0185512367491166	0.0185512367491166	0.0291519434628975	0.0291519434628975	0.0459363957597173	0.0459363957597173	0.0247349823321555	0.0247349823321555	0.00795053003533569	0.00795053003533569	0	0	0	0	0	0	0	0	0	0	0	0	1132
M	PL	1990	1	0	0	0	0	0	0	0	0	0	0.000866551126516464	0.000866551126516464	0.000866551126516464	0.000866551126516464	0.00259965337954939	0.00259965337954939	0.00519930675909879	0.00519930675909879	0.00953206239168111	0.00953206239168111	0.0207972270363951	0.0207972270363951	0.0147313691507799	0.0147313691507799	0.0398613518197574	0.0398613518197574	0.0632582322357019	0.0632582322357019	0.0563258232235702	0.0563258232235702	0.0225303292894281	0.0225303292894281	0.00779896013864818	0.00779896013864818	0.0103986135181976	0.0103986135181976	0.011265164644714	0.011265164644714	0.024263431542461	0.024263431542461	0.0337954939341421	0.0337954939341421	0.0511265164644714	0.0511265164644714	0.0554592720970537	0.0554592720970537	0.0450606585788562	0.0450606585788562	0.0216637781629116	0.0216637781629116	0.00259965337954939	0.00259965337954939	0	0	0	0	0	0	0	0	0	0	1154
M	PL	1990	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00632911392405063	0.00632911392405063	0.0443037974683544	0.0443037974683544	0.0822784810126582	0.0822784810126582	0.0379746835443038	0.0379746835443038	0.0189873417721519	0.0189873417721519	0.0411392405063291	0.0411392405063291	0.0822784810126582	0.0822784810126582	0.0949367088607595	0.0949367088607595	0.060126582278481	0.060126582278481	0.0284810126582278	0.0284810126582278	0.00316455696202532	0.00316455696202532	0	0	0	0	0	0	0	0	0	0	0	0	316
M	PL	1990	3	0	0	0	0	0	0	0	0	0	0.00402144772117962	0.00402144772117962	0.00402144772117962	0.00402144772117962	0.00268096514745308	0.00268096514745308	0.00402144772117962	0.00402144772117962	0.00134048257372654	0.00134048257372654	0.00268096514745308	0.00268096514745308	0.0107238605898123	0.0107238605898123	0.0187667560321716	0.0187667560321716	0.0187667560321716	0.0187667560321716	0.0415549597855228	0.0415549597855228	0.0844504021447721	0.0844504021447721	0.10857908847185	0.10857908847185	0.120643431635389	0.120643431635389	0.0616621983914209	0.0616621983914209	0.0134048257372654	0.0134048257372654	0.00268096514745308	0.00268096514745308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	746
M	PL	1990	4	0	0	0	0	0	0	0	0	0	0.00898203592814371	0.00898203592814371	0.00598802395209581	0.00598802395209581	0.0179640718562874	0.0179640718562874	0.0149700598802395	0.0149700598802395	0.0104790419161677	0.0104790419161677	0.031437125748503	0.031437125748503	0.0793413173652695	0.0793413173652695	0.0823353293413174	0.0823353293413174	0.0658682634730539	0.0658682634730539	0.0329341317365269	0.0329341317365269	0.0224550898203593	0.0224550898203593	0.00598802395209581	0.00598802395209581	0.0194610778443114	0.0194610778443114	0.0164670658682635	0.0164670658682635	0.0179640718562874	0.0179640718562874	0.0209580838323353	0.0209580838323353	0.0209580838323353	0.0209580838323353	0.0134730538922156	0.0134730538922156	0.00748502994011976	0.00748502994011976	0.0029940119760479	0.0029940119760479	0.00149700598802395	0.00149700598802395	0	0	0	0	0	0	0	0	0	0	668
M	PL	1991	1	0	0	0	0	0	0	0	0	0	0.00429184549356223	0.00429184549356223	0.01931330472103	0.01931330472103	0.0321888412017167	0.0321888412017167	0.0150214592274678	0.0150214592274678	0.00429184549356223	0.00429184549356223	0.0150214592274678	0.0150214592274678	0.0429184549356223	0.0429184549356223	0.0944206008583691	0.0944206008583691	0.0686695278969957	0.0686695278969957	0.0622317596566524	0.0622317596566524	0.0257510729613734	0.0257510729613734	0.00643776824034335	0.00643776824034335	0.0128755364806867	0.0128755364806867	0.0236051502145923	0.0236051502145923	0.01931330472103	0.01931330472103	0.0257510729613734	0.0257510729613734	0.0150214592274678	0.0150214592274678	0.00643776824034335	0.00643776824034335	0	0	0.00429184549356223	0.00429184549356223	0	0	0.00214592274678112	0.00214592274678112	0	0	0	0	0	0	0	0	466
M	PL	1991	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0040650406504065	0.0040650406504065	0.0040650406504065	0.0040650406504065	0.0121951219512195	0.0121951219512195	0.0975609756097561	0.0975609756097561	0.17479674796748	0.17479674796748	0.0691056910569106	0.0691056910569106	0.0203252032520325	0.0203252032520325	0.0121951219512195	0.0121951219512195	0.0040650406504065	0.0040650406504065	0.024390243902439	0.024390243902439	0.0203252032520325	0.0203252032520325	0.0284552845528455	0.0284552845528455	0.00813008130081301	0.00813008130081301	0.00813008130081301	0.00813008130081301	0.0040650406504065	0.0040650406504065	0.0040650406504065	0.0040650406504065	0.0040650406504065	0.0040650406504065	0	0	0	0	0	0	0	0	246
M	PL	1991	3	0	0	0	0	0	0	0	0	0	0	0	0.00127226463104326	0.00127226463104326	0	0	0.00127226463104326	0.00127226463104326	0.0114503816793893	0.0114503816793893	0.0305343511450382	0.0305343511450382	0.0623409669211196	0.0623409669211196	0.0559796437659033	0.0559796437659033	0.0572519083969466	0.0572519083969466	0.0521628498727735	0.0521628498727735	0.0458015267175573	0.0458015267175573	0.0852417302798982	0.0852417302798982	0.0508905852417303	0.0508905852417303	0.0229007633587786	0.0229007633587786	0.00508905852417303	0.00508905852417303	0.0089058524173028	0.0089058524173028	0.00636132315521628	0.00636132315521628	0.00254452926208651	0.00254452926208651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	786
M	PL	1991	4	0	0	0	0	0	0	0	0	0	0	0	0.00288018433179724	0.00288018433179724	0.0109447004608295	0.0109447004608295	0.0120967741935484	0.0120967741935484	0.00460829493087558	0.00460829493087558	0.00864055299539171	0.00864055299539171	0.0293778801843318	0.0293778801843318	0.101382488479263	0.101382488479263	0.151497695852535	0.151497695852535	0.0725806451612903	0.0725806451612903	0.0339861751152074	0.0339861751152074	0.0178571428571429	0.0178571428571429	0.016705069124424	0.016705069124424	0.01036866359447	0.01036866359447	0.00460829493087558	0.00460829493087558	0.00691244239631336	0.00691244239631336	0.00403225806451613	0.00403225806451613	0.00460829493087558	0.00460829493087558	0.00403225806451613	0.00403225806451613	0.00230414746543779	0.00230414746543779	0.000576036866359447	0.000576036866359447	0	0	0	0	0	0	0	0	0	0	1736
