year	quarter	region	method	catch
1956	2	0	3	61
1956	2	0	4	269
1956	2	1	1	2250
1956	2	2	1	185
1956	2	2	2	425
1956	2	2	3	648
1956	2	2	4	28
1956	3	0	1	57
1956	3	0	2	191
1956	3	0	3	61
1956	3	0	4	8
1956	3	1	1	2250
1956	3	2	1	185
1956	3	2	2	425
1956	3	2	3	648
1956	3	2	4	83
1957	0	0	1	57
1957	0	0	2	476
1957	0	0	3	62
1957	0	0	4	54
1957	0	1	1	2500
1957	0	2	1	189
1957	0	2	2	410
1957	0	2	3	622
1957	0	2	4	63
1957	1	0	1	57
1957	1	0	2	476
1957	1	0	3	62
1957	1	0	4	13
1957	1	1	1	2500
1957	1	2	1	189
1957	1	2	2	410
1957	1	2	3	622
1957	1	2	4	59
1957	2	0	1	57
1957	2	0	2	476
1957	2	0	3	62
1957	2	0	4	44
1957	2	1	1	2500
1957	2	2	1	189
1957	2	2	2	410
1957	2	2	3	622
1957	2	2	4	28
1957	3	0	1	57
1957	3	0	2	476
1957	3	0	3	62
1957	3	0	4	90
1957	3	1	1	2500
1957	3	2	1	189
1957	3	2	2	410
1957	3	2	3	622
1957	3	2	4	39
1958	0	0	1	56
1958	0	0	2	243
1958	0	0	3	63
1958	0	0	4	63
1958	0	1	1	2500
1958	0	2	1	205
1958	0	2	2	417
1958	0	2	3	625
1958	0	2	4	40
1958	1	0	1	56
1958	1	0	2	243
1958	1	0	3	63
1958	1	0	4	93
1958	1	1	1	2500
1958	1	2	1	205
1958	1	2	2	417
1958	1	2	3	625
1958	1	2	4	50
1958	2	0	1	56
1958	2	0	2	243
1958	2	0	3	63
1958	2	0	4	8
1958	2	1	1	2500
1958	2	2	1	205
1958	2	2	2	417
1958	2	2	3	625
1958	2	2	4	30
1958	3	0	1	56
1958	3	0	2	243
1958	3	0	3	63
1958	3	0	4	19
1958	3	1	1	2500
1958	3	2	1	205
1958	3	2	2	417
1958	3	2	3	625
1958	3	2	4	52
1959	0	0	1	55
1959	0	0	2	244
1959	0	0	3	64
1959	0	0	4	30
1959	0	1	1	2500
1959	0	2	1	221
1959	0	2	2	423
1959	0	2	3	630
1959	0	2	4	67
1959	1	0	1	55
1959	1	0	2	244
1959	1	0	3	64
1959	1	0	4	156
1959	1	1	1	2500
1959	1	2	1	221
1959	1	2	2	423
1959	1	2	3	630
1959	1	2	4	35
1959	2	0	1	55
1959	2	0	2	244
1959	2	0	3	64
1959	2	0	4	5
1959	2	1	1	2500
1959	2	2	1	221
1959	2	2	2	423
1959	2	2	3	630
1959	2	2	4	31
1959	3	0	1	55
1959	3	0	2	244
1959	3	0	3	64
1959	3	0	4	5
1959	3	1	1	2500
1959	3	2	1	221
1959	3	2	2	423
1959	3	2	3	630
1959	3	2	4	33
1960	0	0	1	56
1960	0	0	2	294
1960	0	0	3	67
1960	0	0	4	191
1960	0	1	1	2289
1960	0	2	1	287
1960	0	2	2	445
1960	0	2	3	639
1960	0	2	4	53
1960	1	0	1	56
1960	1	0	2	294
1960	1	0	3	67
1960	1	0	4	98
1960	1	1	1	2754
1960	1	2	1	287
1960	1	2	2	445
1960	1	2	3	639
1960	1	2	4	68
1960	2	0	1	56
1960	2	0	2	294
1960	2	0	3	67
1960	2	0	4	6
1960	2	1	1	2107
1960	2	2	1	287
1960	2	2	2	445
1960	2	2	3	639
1960	2	2	4	41
1960	3	0	1	56
1960	3	0	2	294
1960	3	0	3	67
1960	3	0	4	30
1960	3	1	1	1850
1960	3	2	1	287
1960	3	2	2	445
1960	3	2	3	639
1960	3	2	4	61
1961	0	0	1	143
1961	0	0	2	270
1961	0	0	3	38
1961	0	0	4	37
1961	0	1	1	2183
1961	0	2	1	353
1961	0	2	2	497
1961	0	2	3	699
1961	0	2	4	59
1961	1	0	1	38
1961	1	0	2	270
1961	1	0	3	42
1961	1	0	4	135
1961	1	1	1	2490
1961	1	2	1	353
1961	1	2	2	497
1961	1	2	3	699
1961	1	2	4	52
1961	2	0	1	13
1961	2	0	2	270
1961	2	0	3	237
1961	2	0	4	5
1961	2	1	1	1638
1961	2	2	1	353
1961	2	2	2	497
1961	2	2	3	699
1961	2	2	4	61
1961	3	0	1	190
1961	3	0	2	270
1961	3	0	3	38
1961	3	0	4	137
1961	3	1	1	1689
1961	3	2	1	353
1961	3	2	2	497
1961	3	2	3	699
1961	3	2	4	73
1962	0	0	1	25
1962	0	0	2	409
1962	0	0	3	46
1962	0	0	4	150
1962	0	1	1	2203
1962	0	2	1	531
1962	0	2	2	648
1962	0	2	3	888
1962	0	2	4	110
1962	1	0	1	7
1962	1	0	2	409
1962	1	0	3	48
1962	1	0	4	42
1962	1	1	1	2342
1962	1	2	1	531
1962	1	2	2	648
1962	1	2	3	888
1962	1	2	4	76
1962	2	0	1	2
1962	2	0	2	409
1962	2	0	3	63
1962	2	0	4	28
1962	2	1	1	1700
1962	2	2	1	531
1962	2	2	2	648
1962	2	2	3	888
1962	2	2	4	88
1962	3	0	1	37
1962	3	0	2	409
1962	3	0	3	41
1962	3	0	4	150
1962	3	1	1	1755
1962	3	2	1	531
1962	3	2	2	648
1962	3	2	3	888
1962	3	2	4	97
1963	0	0	0	12
1963	0	0	1	98
1963	0	0	2	608
1963	0	0	3	84
1963	0	0	4	35
1963	0	1	1	2326
1963	0	2	1	710
1963	0	2	2	730
1963	0	2	3	960
1963	0	2	4	103
1963	1	0	0	12
1963	1	0	1	26
1963	1	0	2	608
1963	1	0	3	64
1963	1	0	4	126
1963	1	1	1	2186
1963	1	2	1	710
1963	1	2	2	730
1963	1	2	3	960
1963	1	2	4	120
1963	2	0	0	12
1963	2	0	1	9
1963	2	0	2	608
1963	2	0	3	113
1963	2	0	4	20
1963	2	1	1	1700
1963	2	2	1	710
1963	2	2	2	730
1963	2	2	3	960
1963	2	2	4	114
1963	3	0	0	12
1963	3	0	1	142
1963	3	0	2	608
1963	3	0	3	49
1963	3	0	4	43
1963	3	1	1	1789
1963	3	2	1	710
1963	3	2	2	730
1963	3	2	3	960
1963	3	2	4	102
1964	0	0	0	55
1964	0	0	1	86
1964	0	0	2	834
1964	0	0	3	89
1964	0	0	4	24
1964	0	1	1	2326
1964	0	2	1	687
1964	0	2	2	728
1964	0	2	3	965
1964	0	2	4	107
1964	1	0	0	55
1964	1	0	1	24
1964	1	0	2	863
1964	1	0	3	56
1964	1	0	4	77
1964	1	1	1	2186
1964	1	2	1	687
1964	1	2	2	728
1964	1	2	3	965
1964	1	2	4	97
1964	2	0	0	55
1964	2	0	1	8
1964	2	0	2	834
1964	2	0	3	98
1964	2	0	4	35
1964	2	1	1	1700
1964	2	2	1	687
1964	2	2	2	728
1964	2	2	3	965
1964	2	2	4	111
1964	3	0	0	55
1964	3	0	1	120
1964	3	0	2	834
1964	3	0	3	54
1964	3	0	4	106
1964	3	1	1	1789
1964	3	2	1	687
1964	3	2	2	728
1964	3	2	3	965
1964	3	2	4	115
1965	0	0	0	3
1965	0	0	1	57
1965	0	0	2	903
1965	0	0	3	73
1965	0	0	4	84
1965	0	1	1	4099
1965	0	2	1	664
1965	0	2	2	743
1965	0	2	3	995
1965	0	2	4	101
1965	1	0	0	3
1965	1	0	1	16
1965	1	0	2	922
1965	1	0	3	55
1965	1	0	4	128
1965	1	1	1	3852
1965	1	2	1	664
1965	1	2	2	743
1965	1	2	3	995
1965	1	2	4	109
1965	2	0	0	3
1965	2	0	1	5
1965	2	0	2	903
1965	2	0	3	78
1965	2	0	4	26
1965	2	1	1	2996
1965	2	2	1	664
1965	2	2	2	743
1965	2	2	3	995
1965	2	2	4	94
1965	3	0	0	3
1965	3	0	1	77
1965	3	0	2	903
1965	3	0	3	52
1965	3	0	4	50
1965	3	1	1	3153
1965	3	2	1	664
1965	3	2	2	743
1965	3	2	3	995
1965	3	2	4	101
1966	0	0	1	41
1966	0	0	2	1205
1966	0	0	3	67
1966	0	0	4	107
1966	0	1	1	4913
1966	0	2	1	440
1966	0	2	2	1163
1966	0	2	3	1095
1966	0	2	4	74
1966	1	0	1	12
1966	1	0	2	1205
1966	1	0	3	54
1966	1	0	4	222
1966	1	1	1	4617
1966	1	2	1	440
1966	1	2	2	1163
1966	1	2	3	1095
1966	1	2	4	74
1966	2	0	1	4
1966	2	0	2	1218
1966	2	0	3	70
1966	2	0	4	65
1966	2	1	1	3591
1966	2	2	1	440
1966	2	2	2	1163
1966	2	2	3	1095
1966	2	2	4	83
1966	3	0	1	55
1966	3	0	2	1205
1966	3	0	3	51
1966	3	0	4	103
1966	3	1	1	3779
1966	3	2	1	440
1966	3	2	2	1163
1966	3	2	3	1095
1966	3	2	4	82
1967	0	0	1	59
1967	0	0	2	1171
1967	0	0	3	89
1967	0	0	4	113
1967	0	1	1	5494
1967	0	2	1	484
1967	0	2	2	1234
1967	0	2	3	1125
1967	0	2	4	91
1967	1	0	1	17
1967	1	0	2	1172
1967	1	0	3	71
1967	1	0	4	126
1967	1	1	1	5163
1967	1	2	1	484
1967	1	2	2	1234
1967	1	2	3	1125
1967	1	2	4	91
1967	2	0	1	5
1967	2	0	2	1190
1967	2	0	3	94
1967	2	0	4	44
1967	2	1	1	4016
1967	2	2	1	484
1967	2	2	2	1234
1967	2	2	3	1125
1967	2	2	4	85
1967	3	0	1	80
1967	3	0	2	1171
1967	3	0	3	67
1967	3	0	4	86
1967	3	1	1	4226
1967	3	2	1	484
1967	3	2	2	1234
1967	3	2	3	1125
1967	3	2	4	83
1968	0	0	1	90
1968	0	0	2	1177
1968	0	0	3	113
1968	0	0	4	135
1968	0	1	1	5087
1968	0	2	1	548
1968	0	2	2	1321
1968	0	2	3	1146
1968	0	2	4	106
1968	1	0	1	26
1968	1	0	2	1178
1968	1	0	3	86
1968	1	0	4	216
1968	1	1	1	4781
1968	1	2	1	548
1968	1	2	2	1321
1968	1	2	3	1146
1968	1	2	4	99
1968	2	0	1	8
1968	2	0	2	1206
1968	2	0	3	122
1968	2	0	4	93
1968	2	1	1	3719
1968	2	2	1	548
1968	2	2	2	1321
1968	2	2	3	1146
1968	2	2	4	91
1968	3	0	1	121
1968	3	0	2	1177
1968	3	0	3	80
1968	3	0	4	162
1968	3	1	1	3913
1968	3	2	1	548
1968	3	2	2	1321
1968	3	2	3	1146
1968	3	2	4	90
1969	0	0	1	74
1969	0	0	2	1063
1969	0	0	3	137
1969	0	0	4	161
1969	0	1	1	5698
1969	0	2	1	613
1969	0	2	2	1432
1969	0	2	3	1208
1969	0	2	4	103
1969	1	0	1	29
1969	1	0	2	1065
1969	1	0	3	99
1969	1	0	4	48
1969	1	1	1	5355
1969	1	2	1	613
1969	1	2	2	1432
1969	1	2	3	1208
1969	1	2	4	107
1969	2	0	1	19
1969	2	0	2	1103
1969	2	0	3	150
1969	2	0	4	65
1969	2	1	1	4165
1969	2	2	1	613
1969	2	2	2	1432
1969	2	2	3	1208
1969	2	2	4	98
1969	3	0	1	221
1969	3	0	2	1063
1969	3	0	3	91
1969	3	0	4	72
1969	3	1	1	4383
1969	3	2	1	613
1969	3	2	2	1432
1969	3	2	3	1208
1969	3	2	4	97
1970	0	0	1	70
1970	0	0	2	969
1970	0	0	3	147
1970	0	0	4	44
1970	0	1	1	6554
1970	0	1	3	203
1970	0	2	0	0
1970	0	2	1	482
1970	0	2	2	892
1970	0	2	3	1035
1970	0	2	4	81
1970	1	0	1	30
1970	1	0	2	970
1970	1	0	3	114
1970	1	0	4	59
1970	1	1	1	5346
1970	1	1	3	92
1970	1	2	0	0
1970	1	2	1	482
1970	1	2	2	1050
1970	1	2	3	1035
1970	1	2	4	88
1970	2	0	1	15
1970	2	0	2	1004
1970	2	0	3	158
1970	2	0	4	33
1970	2	1	1	6808
1970	2	1	3	163
1970	2	2	0	0
1970	2	2	1	482
1970	2	2	2	1706
1970	2	2	3	1035
1970	2	2	4	125
1970	3	0	1	185
1970	3	0	2	969
1970	3	0	3	107
1970	3	0	4	61
1970	3	1	1	8892
1970	3	1	3	176
1970	3	2	0	0
1970	3	2	1	482
1970	3	2	2	1066
1970	3	2	3	1035
1970	3	2	4	79
1971	0	0	1	101
1971	0	0	2	793
1971	0	0	3	183
1971	0	0	4	93
1971	0	1	1	6866
1971	0	1	3	174
1971	0	2	0	0
1971	0	2	1	350
1971	0	2	2	716
1971	0	2	3	974
1971	0	2	4	63
1971	1	0	1	46
1971	1	0	2	795
1971	1	0	3	138
1971	1	0	4	77
1971	1	1	1	6479
1971	1	1	3	131
1971	1	2	0	0
1971	1	2	1	350
1971	1	2	2	962
1971	1	2	3	974
1971	1	2	4	57
1971	2	0	1	26
1971	2	0	2	840
1971	2	0	3	197
1971	2	0	4	77
1971	2	1	1	5570
1971	2	1	3	59
1971	2	2	0	0
1971	2	2	1	350
1971	2	2	2	1472
1971	2	2	3	974
1971	2	2	4	54
1971	3	0	1	256
1971	3	0	2	793
1971	3	0	3	128
1971	3	0	4	73
1971	3	1	1	9092
1971	3	1	3	119
1971	3	2	0	0
1971	3	2	1	350
1971	3	2	2	782
1971	3	2	3	974
1971	3	2	4	54
1972	0	0	1	73
1972	0	0	2	947
1972	0	0	3	168
1972	0	0	4	106
1972	0	1	1	6816
1972	0	1	3	124
1972	0	2	0	0
1972	0	2	1	579
1972	0	2	2	1043
1972	0	2	3	1270
1972	0	2	4	90
1972	1	0	1	36
1972	1	0	2	948
1972	1	0	3	136
1972	1	0	4	149
1972	1	1	1	3582
1972	1	1	3	54
1972	1	2	0	0
1972	1	2	1	579
1972	1	2	2	1321
1972	1	2	3	1270
1972	1	2	4	91
1972	2	0	1	16
1972	2	0	2	980
1972	2	0	3	179
1972	2	0	4	92
1972	2	1	1	3866
1972	2	1	3	91
1972	2	2	0	0
1972	2	2	1	579
1972	2	2	2	1933
1972	2	2	3	1270
1972	2	2	4	92
1972	3	0	1	175
1972	3	0	2	947
1972	3	0	3	129
1972	3	0	4	119
1972	3	1	1	3214
1972	3	1	3	71
1972	3	2	0	0
1972	3	2	1	579
1972	3	2	2	1379
1972	3	2	3	1270
1972	3	2	4	88
1973	0	0	1	1451
1973	0	0	2	1090
1973	0	0	3	221
1973	0	0	4	129
1973	0	1	1	6326
1973	0	1	3	169
1973	0	2	0	0
1973	0	2	1	703
1973	0	2	2	1222
1973	0	2	3	1402
1973	0	2	4	112
1973	1	0	1	1308
1973	1	0	2	884
1973	1	0	3	161
1973	1	0	4	126
1973	1	1	1	3383
1973	1	1	3	108
1973	1	2	0	0
1973	1	2	1	703
1973	1	2	2	1576
1973	1	2	3	1778
1973	1	2	4	108
1973	2	0	1	1271
1973	2	0	2	608
1973	2	0	3	240
1973	2	0	4	120
1973	2	1	1	3750
1973	2	1	3	25
1973	2	2	0	0
1973	2	2	1	703
1973	2	2	2	2362
1973	2	2	3	1781
1973	2	2	4	108
1973	3	0	1	1517
1973	3	0	2	466
1973	3	0	3	148
1973	3	0	4	118
1973	3	1	1	6089
1973	3	1	3	149
1973	3	2	0	0
1973	3	2	1	703
1973	3	2	2	1667
1973	3	2	3	1652
1973	3	2	4	109
1974	0	0	1	2867
1974	0	0	2	1380
1974	0	0	3	256
1974	0	0	4	138
1974	0	1	1	5876
1974	0	1	3	221
1974	0	2	0	0
1974	0	2	1	617
1974	0	2	2	1055
1974	0	2	3	1925
1974	0	2	4	96
1974	1	0	1	2688
1974	1	0	2	1332
1974	1	0	3	182
1974	1	0	4	145
1974	1	1	1	6779
1974	1	1	3	105
1974	1	2	0	0
1974	1	2	1	617
1974	1	2	2	1371
1974	1	2	3	1917
1974	1	2	4	96
1974	2	0	1	2645
1974	2	0	2	609
1974	2	0	3	280
1974	2	0	4	132
1974	2	1	1	4010
1974	2	1	3	19
1974	2	2	0	0
1974	2	2	1	617
1974	2	2	2	2653
1974	2	2	3	1805
1974	2	2	4	95
1974	3	0	1	2953
1974	3	0	2	867
1974	3	0	3	166
1974	3	0	4	135
1974	3	1	1	5864
1974	3	1	3	76
1974	3	2	0	0
1974	3	2	1	617
1974	3	2	2	1708
1974	3	2	3	1761
1974	3	2	4	95
1975	0	0	1	797
1975	0	0	2	1402
1975	0	0	3	299
1975	0	0	4	154
1975	0	1	1	3796
1975	0	1	3	69
1975	0	2	0	0
1975	0	2	1	502
1975	0	2	2	969
1975	0	2	3	2730
1975	0	2	4	77
1975	1	0	1	538
1975	1	0	2	1667
1975	1	0	3	192
1975	1	0	4	150
1975	1	1	1	4567
1975	1	1	3	73
1975	1	2	0	0
1975	1	2	1	502
1975	1	2	2	1425
1975	1	2	3	2718
1975	1	2	4	77
1975	2	0	1	476
1975	2	0	2	597
1975	2	0	3	333
1975	2	0	4	145
1975	2	1	1	3494
1975	2	1	3	54
1975	2	2	0	0
1975	2	2	1	502
1975	2	2	2	3277
1975	2	2	3	2558
1975	2	2	4	77
1975	3	0	1	922
1975	3	0	2	995
1975	3	0	3	168
1975	3	0	4	146
1975	3	1	1	3068
1975	3	1	3	73
1975	3	2	0	0
1975	3	2	1	502
1975	3	2	2	1912
1975	3	2	3	2493
1975	3	2	4	76
1976	0	0	1	265
1976	0	0	2	1124
1976	0	0	3	272
1976	0	0	4	165
1976	0	1	1	5351
1976	0	1	3	139
1976	0	2	0	0
1976	0	2	1	900
1976	0	2	2	1555
1976	0	2	3	3115
1976	0	2	4	140
1976	1	0	1	78
1976	1	0	2	1481
1976	1	0	3	195
1976	1	0	4	172
1976	1	1	1	5866
1976	1	1	3	121
1976	1	2	0	0
1976	1	2	1	900
1976	1	2	2	2063
1976	1	2	3	3102
1976	1	2	4	139
1976	2	0	1	33
1976	2	0	2	707
1976	2	0	3	297
1976	2	0	4	164
1976	2	1	1	3362
1976	2	1	3	58
1976	2	2	0	0
1976	2	2	1	900
1976	2	2	2	4127
1976	2	2	3	2923
1976	2	2	4	138
1976	3	0	1	356
1976	3	0	2	1094
1976	3	0	3	178
1976	3	0	4	164
1976	3	1	1	4008
1976	3	1	3	159
1976	3	2	0	0
1976	3	2	1	900
1976	3	2	2	2606
1976	3	2	3	2851
1976	3	2	4	138
1977	0	0	1	331
1977	0	0	2	1011
1977	0	0	3	294
1977	0	0	4	185
1977	0	1	1	3844
1977	0	1	3	123
1977	0	2	0	0
1977	0	2	1	911
1977	0	2	2	1567
1977	0	2	3	3504
1977	0	2	4	133
1977	1	0	1	160
1977	1	0	2	1335
1977	1	0	3	223
1977	1	0	4	189
1977	1	1	1	3405
1977	1	1	3	77
1977	1	2	0	0
1977	1	2	1	911
1977	1	2	2	2167
1977	1	2	3	3488
1977	1	2	4	132
1977	2	0	1	119
1977	2	0	2	647
1977	2	0	3	316
1977	2	0	4	186
1977	2	1	1	3154
1977	2	1	3	24
1977	2	2	0	0
1977	2	2	1	911
1977	2	2	2	4609
1977	2	2	3	3276
1977	2	2	4	132
1977	3	0	1	413
1977	3	0	2	998
1977	3	0	3	207
1977	3	0	4	185
1977	3	1	1	3263
1977	3	1	3	82
1977	3	2	0	132
1977	3	2	1	911
1977	3	2	2	2810
1977	3	2	3	3192
1977	3	2	4	132
1978	0	0	0	0
1978	0	0	1	517
1978	0	0	2	588
1978	0	0	3	403
1978	0	0	4	202
1978	0	1	1	4585
1978	0	1	3	107
1978	0	2	0	1341
1978	0	2	1	1122
1978	0	2	2	1510
1978	0	2	3	1399
1978	0	2	4	495
1978	1	0	0	0
1978	1	0	1	240
1978	1	0	2	784
1978	1	0	3	289
1978	1	0	4	201
1978	1	1	1	2625
1978	1	1	3	51
1978	1	2	0	735
1978	1	2	1	1122
1978	1	2	2	1784
1978	1	2	3	1394
1978	1	2	4	491
1978	2	0	0	0
1978	2	0	1	174
1978	2	0	2	458
1978	2	0	3	440
1978	2	0	4	195
1978	2	1	1	2798
1978	2	1	3	34
1978	2	2	0	1459
1978	2	2	1	1122
1978	2	2	2	2901
1978	2	2	3	1324
1978	2	2	4	491
1978	3	0	0	0
1978	3	0	1	650
1978	3	0	2	591
1978	3	0	3	264
1978	3	0	4	198
1978	3	1	1	3154
1978	3	1	3	79
1978	3	2	0	2012
1978	3	2	1	1122
1978	3	2	2	2078
1978	3	2	3	1296
1978	3	2	4	490
1979	0	0	0	12
1979	0	0	1	579
1979	0	0	2	992
1979	0	0	3	489
1979	0	0	4	210
1979	0	1	1	5203
1979	0	1	3	83
1979	0	2	0	1355
1979	0	2	1	996
1979	0	2	2	178
1979	0	2	3	1327
1979	0	2	4	463
1979	1	0	0	9
1979	1	0	1	205
1979	1	0	2	1490
1979	1	0	3	396
1979	1	0	4	213
1979	1	1	1	4049
1979	1	1	3	91
1979	1	2	0	831
1979	1	2	1	996
1979	1	2	2	5254
1979	1	2	3	1322
1979	1	2	4	462
1979	2	0	0	11
1979	2	0	1	116
1979	2	0	2	548
1979	2	0	3	493
1979	2	0	4	207
1979	2	1	1	3181
1979	2	1	3	57
1979	2	2	0	1422
1979	2	2	1	996
1979	2	2	2	1508
1979	2	2	3	1255
1979	2	2	4	466
1979	3	0	0	10
1979	3	0	1	759
1979	3	0	2	997
1979	3	0	3	322
1979	3	0	4	207
1979	3	1	1	4822
1979	3	1	3	101
1979	3	2	0	1383
1979	3	2	1	996
1979	3	2	2	722
1979	3	2	3	1228
1979	3	2	4	464
1980	0	0	0	282
1980	0	0	1	299
1980	0	0	2	464
1980	0	0	3	493
1980	0	0	4	218
1980	0	1	1	6458
1980	0	1	3	197
1980	0	2	0	1515
1980	0	2	1	1131
1980	0	2	2	1611
1980	0	2	3	1489
1980	0	2	4	526
1980	1	0	0	227
1980	1	0	1	87
1980	1	0	2	632
1980	1	0	3	449
1980	1	0	4	224
1980	1	1	1	4251
1980	1	1	3	114
1980	1	2	0	883
1980	1	2	1	1131
1980	1	2	2	1903
1980	1	2	3	1483
1980	1	2	4	527
1980	2	0	0	248
1980	2	0	1	36
1980	2	0	2	270
1980	2	0	3	498
1980	2	0	4	218
1980	2	1	1	4885
1980	2	1	3	42
1980	2	2	0	1551
1980	2	2	1	1131
1980	2	2	2	3088
1980	2	2	3	1409
1980	2	2	4	525
1980	3	0	0	243
1980	3	0	1	402
1980	3	0	2	478
1980	3	0	3	365
1980	3	0	4	218
1980	3	1	1	6577
1980	3	1	3	125
1980	3	2	0	1386
1980	3	2	1	1131
1980	3	2	2	2215
1980	3	2	3	1379
1980	3	2	4	527
1981	0	0	0	635
1981	0	0	1	409
1981	0	0	2	715
1981	0	0	3	545
1981	0	0	4	232
1981	0	1	1	6197
1981	0	1	3	173
1981	0	2	0	1630
1981	0	2	1	1307
1981	0	2	2	220
1981	0	2	3	1670
1981	0	2	4	599
1981	1	0	0	396
1981	1	0	1	150
1981	1	0	2	962
1981	1	0	3	544
