year	quarter	region	method	class	proportion	size
1984	1	1	0	24	0.129854	1957378
1984	1	1	0	25	0.13282	1957378
1984	1	1	0	26	0.103711	1957378
1984	1	1	0	27	0.082655	1957378
1984	1	1	0	28	0.054778	1957378
1984	1	1	0	29	0.04367	1957378
1984	1	1	0	30	0.034805	1957378
1984	1	1	0	31	0.016888	1957378
1984	1	1	0	32	0.004992	1957378
1984	1	1	0	33	0.001606	1957378
1984	1	1	0	34	0.001513	1957378
1984	1	1	0	35	0.001787	1957378
1984	1	1	0	36	0.000654	1957378
1984	1	1	0	37	0.000191	1957378
1984	1	1	0	38	0.000191	1957378
1984	1	1	0	39	0	1957378
1984	1	2	1	10	0	550
1984	1	2	1	11	0.025455	550
1984	1	2	1	12	0.003636	550
1984	1	2	1	13	0.003636	550
1984	1	2	1	14	0.021818	550
1984	1	2	1	15	0.069091	550
1984	1	2	1	16	0.178182	550
1984	1	2	1	17	0.094545	550
1984	1	2	1	18	0.098182	550
1984	1	2	1	19	0.109091	550
1984	1	2	1	20	0.123636	550
1984	1	2	1	21	0.127273	550
1984	1	2	1	22	0.029091	550
1984	1	2	1	23	0.036364	550
1984	1	2	1	24	0.032727	550
1984	1	2	1	25	0.025455	550
1984	1	2	1	26	0.010909	550
1984	1	2	1	27	0.003636	550
1984	1	2	1	28	0	550
1984	1	2	1	29	0	550
1984	1	2	1	30	0.007273	550
1984	1	2	1	31	0	550
1984	1	2	1	32	0	550
1984	1	2	1	33	0	550
1984	1	2	1	34	0	550
1984	1	2	1	35	0	550
1984	1	2	1	36	0	550
1984	1	2	1	37	0	550
1984	1	2	1	38	0	550
1984	1	2	1	39	0	550
1984	1	3	2	10	0	4034
1984	1	3	2	11	0	4034
1984	1	3	2	12	0	4034
1984	1	3	2	13	0	4034
1984	1	3	2	14	0	4034
1984	1	3	2	15	0	4034
1984	1	3	2	16	0.000248	4034
1984	1	3	2	17	0.000248	4034
1984	1	3	2	18	0.001239	4034
1984	1	3	2	19	0.002975	4034
1984	1	3	2	20	0.006941	4034
1984	1	3	2	21	0.018592	4034
1984	1	3	2	22	0.031978	4034
1984	1	3	2	23	0.050818	4034
1984	1	3	2	24	0.080317	4034
1984	1	3	2	25	0.09172	4034
1984	1	3	2	26	0.089737	4034
1984	1	3	2	27	0.111304	4034
1984	1	3	2	28	0.113039	4034
1984	1	3	2	29	0.123699	4034
1984	1	3	2	30	0.103371	4034
1984	1	3	2	31	0.079078	4034
1984	1	3	2	32	0.046108	4034
1984	1	3	2	33	0.021567	4034
1984	1	3	2	34	0.015121	4034
1984	1	3	2	35	0.00818	4034
1984	1	3	2	36	0.003223	4034
1984	1	3	2	37	0.000496	4034
1984	1	3	2	38	0	4034
1984	1	3	2	39	0	4034
1984	2	1	0	10	0	4655064
1984	2	1	0	11	0	4655064
1984	2	1	0	12	0	4655064
1984	2	1	0	13	0	4655064
1984	2	1	0	14	9e-06	4655064
1984	2	1	0	15	0.001204	4655064
1984	2	1	0	16	0.015933	4655064
1984	2	1	0	17	0.040827	4655064
1984	2	1	0	18	0.044998	4655064
1984	2	1	0	19	0.045518	4655064
1984	2	1	0	20	0.045521	4655064
1984	2	1	0	21	0.063455	4655064
1984	2	1	0	22	0.072274	4655064
1984	2	1	0	23	0.075442	4655064
1984	2	1	0	24	0.087869	4655064
1984	2	1	0	25	0.065026	4655064
1984	2	1	0	26	0.070709	4655064
1984	2	1	0	27	0.066859	4655064
1984	2	1	0	28	0.086293	4655064
1984	2	1	0	29	0.095891	4655064
1984	2	1	0	30	0.04453	4655064
1984	2	1	0	31	0.030943	4655064
1984	2	1	0	32	0.022115	4655064
1984	2	1	0	33	0.008492	4655064
1984	2	1	0	34	0.008031	4655064
1984	2	1	0	35	0.005303	4655064
1984	2	1	0	36	0.001104	4655064
1984	2	1	0	37	0.000594	4655064
1984	2	1	0	38	0.000169	4655064
1984	2	1	0	39	0.000444	4655064
1984	2	2	1	10	0	490
1984	2	2	1	11	0	490
1984	2	2	1	12	0	490
1984	2	2	1	13	0	490
1984	2	2	1	14	0	490
1984	2	2	1	15	0	490
1984	2	2	1	16	0.004082	490
1984	2	2	1	17	0.020408	490
1984	2	2	1	18	0.102041	490
1984	2	2	1	19	0.236735	490
1984	2	2	1	20	0.240816	490
1984	2	2	1	21	0.167347	490
1984	2	2	1	22	0.053061	490
1984	2	2	1	23	0.028571	490
1984	2	2	1	24	0.02449	490
1984	2	2	1	25	0.016327	490
1984	2	2	1	26	0.008163	490
1984	2	2	1	27	0	490
1984	2	2	1	28	0.008163	490
1984	2	2	1	29	0.036735	490
1984	2	2	1	30	0.02449	490
1984	2	2	1	31	0.020408	490
1984	2	2	1	32	0	490
1984	2	2	1	33	0.004082	490
1984	2	2	1	34	0	490
1984	2	2	1	35	0.004082	490
1984	2	2	1	36	0	490
1984	2	2	1	37	0	490
1984	2	2	1	38	0	490
1984	2	2	1	39	0	490
1984	2	3	2	10	0	8049
1984	2	3	2	11	0	8049
1984	2	3	2	12	0.000497	8049
1984	2	3	2	13	0.000621	8049
1984	2	3	2	14	0.000497	8049
1984	2	3	2	15	0.000994	8049
1984	2	3	2	16	0.001118	8049
1984	2	3	2	17	0.00087	8049
1984	2	3	2	18	0.002112	8049
1984	2	3	2	19	0.006709	8049
1984	2	3	2	20	0.01143	8049
1984	2	3	2	21	0.019506	8049
1984	2	3	2	22	0.028575	8049
1984	2	3	2	23	0.036526	8049
1984	2	3	2	24	0.053547	8049
1984	2	3	2	25	0.068331	8049
1984	2	3	2	26	0.081377	8049
1984	2	3	2	27	0.0979	8049
1984	2	3	2	28	0.124239	8049
1984	2	3	2	29	0.146975	8049
1984	2	3	2	30	0.137533	8049
1984	2	3	2	31	0.09144	8049
1984	2	3	2	32	0.056156	8049
1984	2	3	2	33	0.023357	8049
1984	2	3	2	34	0.005963	8049
1984	2	3	2	35	0.001864	8049
1984	2	3	2	36	0.000497	8049
1984	2	3	2	37	0.000745	8049
1984	2	3	2	38	0.000621	8049
1984	2	3	2	39	0	8049
1984	3	0	0	10	0	13346
1984	3	0	0	11	0	13346
1984	3	0	0	12	0	13346
1984	3	0	0	13	0	13346
1984	3	0	0	14	0	13346
1984	3	0	0	15	0	13346
1984	3	0	0	16	0	13346
1984	3	0	0	17	0	13346
1984	3	0	0	18	0	13346
1984	3	0	0	19	0	13346
1984	3	0	0	20	0	13346
1984	3	0	0	21	0.032444	13346
1984	3	0	0	22	0.148659	13346
1984	3	0	0	23	0.265473	13346
1984	3	0	0	24	0.22591	13346
1984	3	0	0	25	0.088641	13346
1984	3	0	0	26	0.038813	13346
1984	3	0	0	27	0.065338	13346
1984	3	0	0	28	0.052825	13346
1984	3	0	0	29	0.03694	13346
1984	3	0	0	30	0.023453	13346
1984	3	0	0	31	0.005695	13346
1984	3	0	0	32	0.009891	13346
1984	3	0	0	33	0.005245	13346
1984	3	0	0	34	0.00045	13346
1984	3	0	0	35	0.000225	13346
1984	3	0	0	36	0	13346
1984	3	0	0	37	0	13346
1984	3	0	0	38	0	13346
1984	3	0	0	39	0	13346
1984	3	1	0	10	0	6843350
1984	3	1	0	11	0	6843350
1984	3	1	0	12	0	6843350
1984	3	1	0	13	0	6843350
1984	3	1	0	14	0	6843350
1984	3	1	0	15	2.5e-05	6843350
1984	3	1	0	16	0.001445	6843350
1984	3	1	0	17	0.00224	6843350
1984	3	1	0	18	0.00227	6843350
1984	3	1	0	19	0.004603	6843350
1984	3	1	0	20	0.008768	6843350
1984	3	1	0	21	0.030742	6843350
1984	3	1	0	22	0.08875	6843350
1984	3	1	0	23	0.151339	6843350
1984	3	1	0	24	0.158008	6843350
1984	3	1	0	25	0.11694	6843350
1984	3	1	0	26	0.083623	6843350
1984	3	1	0	27	0.064056	6843350
1984	3	1	0	28	0.054165	6843350
1984	3	1	0	29	0.057615	6843350
1984	3	1	0	30	0.056614	6843350
1984	3	1	0	31	0.045416	6843350
1984	3	1	0	32	0.029684	6843350
1984	3	1	0	33	0.017274	6843350
1984	3	1	0	34	0.014792	6843350
1984	3	1	0	35	0.009746	6843350
1984	3	1	0	36	0.001881	6843350
1984	3	1	0	37	4e-06	6843350
1984	3	1	0	38	0	6843350
1984	3	1	0	39	0	6843350
1984	3	3	2	10	0	2553
1984	3	3	2	11	0	2553
1984	3	3	2	12	0	2553
1984	3	3	2	13	0	2553
1984	3	3	2	14	0	2553
1984	3	3	2	15	0.000392	2553
1984	3	3	2	16	0.000392	2553
1984	3	3	2	17	0.000392	2553
1984	3	3	2	18	0.001175	2553
1984	3	3	2	19	0.003134	2553
1984	3	3	2	20	0.009792	2553
1984	3	3	2	21	0.02311	2553
1984	3	3	2	22	0.030944	2553
1984	3	3	2	23	0.059146	2553
1984	3	3	2	24	0.080689	2553
1984	3	3	2	25	0.076381	2553
1984	3	3	2	26	0.098707	2553
1984	3	3	2	27	0.105758	2553
1984	3	3	2	28	0.117509	2553
1984	3	3	2	29	0.126518	2553
1984	3	3	2	30	0.108108	2553
1984	3	3	2	31	0.079906	2553
1984	3	3	2	32	0.048962	2553
1984	3	3	2	33	0.020368	2553
1984	3	3	2	34	0.005092	2553
1984	3	3	2	35	0.002742	2553
1984	3	3	2	36	0.000783	2553
1984	3	3	2	37	0	2553
1984	3	3	2	38	0	2553
1984	3	3	2	39	0	2553
1985	0	0	0	10	0	146194
1985	0	0	0	11	0	146194
1985	0	0	0	12	0	146194
1985	0	0	0	13	0	146194
1985	0	0	0	14	0	146194
1985	0	0	0	15	0	146194
1985	0	0	0	16	0	146194
