name	label	value
catches	1954-0-2-4	35	
catches	1954-1-0-0	0	
catches	1954-1-0-1	56	
catches	1954-1-0-2	198	
catches	1954-1-0-3	61	
catches	1954-1-0-4	68	
catches	1954-1-1-0	0	
catches	1954-1-1-1	2250	
catches	1954-1-1-2	0	
catches	1954-1-1-3	0	
catches	1954-1-1-4	0	
catches	1954-1-2-0	0	
catches	1954-1-2-1	151	
catches	1954-1-2-2	391	
catches	1954-1-2-3	604	
catches	1954-1-2-4	49	
catches	1954-2-0-0	0	
catches	1954-2-0-1	56	
catches	1954-2-0-2	198	
catches	1954-2-0-3	61	
catches	1954-2-0-4	0	
catches	1954-2-1-0	0	
catches	1954-2-1-1	2250	
catches	1954-2-1-2	0	
catches	1954-2-1-3	0	
catches	1954-2-1-4	0	
catches	1954-2-2-0	0	
catches	1954-2-2-1	151	
catches	1954-2-2-2	391	
catches	1954-2-2-3	604	
catches	1954-2-2-4	49	
catches	1954-3-0-0	0	
catches	1954-3-0-1	56	
catches	1954-3-0-2	198	
catches	1954-3-0-3	61	
catches	1954-3-0-4	0	
catches	1954-3-1-0	0	
catches	1954-3-1-1	2250	
catches	1954-3-1-2	0	
catches	1954-3-1-3	0	
catches	1954-3-1-4	0	
catches	1954-3-2-0	0	
catches	1954-3-2-1	151	
catches	1954-3-2-2	391	
catches	1954-3-2-3	604	
catches	1954-3-2-4	33	
catches	1955-0-0-0	0	
catches	1955-0-0-1	56	
catches	1955-0-0-2	204	
catches	1955-0-0-3	67	
catches	1955-0-0-4	50	
catches	1955-0-1-0	0	
catches	1955-0-1-1	2250	
catches	1955-0-1-2	0	
catches	1955-0-1-3	0	
catches	1955-0-1-4	0	
catches	1955-0-2-0	0	
catches	1955-0-2-1	140	
catches	1955-0-2-2	387	
catches	1955-0-2-3	601	
catches	1955-0-2-4	36	
catches	1955-1-0-0	0	
catches	1955-1-0-1	56	
catches	1955-1-0-2	204	
catches	1955-1-0-3	67	
catches	1955-1-0-4	96	
catches	1955-1-1-0	0	
catches	1955-1-1-1	2250	
catches	1955-1-1-2	0	
catches	1955-1-1-3	0	
catches	1955-1-1-4	0	
catches	1955-1-2-0	0	
catches	1955-1-2-1	140	
catches	1955-1-2-2	387	
catches	1955-1-2-3	601	
catches	1955-1-2-4	39	
catches	1955-2-0-0	0	
catches	1955-2-0-1	56	
catches	1955-2-0-2	204	
catches	1955-2-0-3	67	
catches	1955-2-0-4	100	
catches	1955-2-1-0	0	
catches	1955-2-1-1	2250	
catches	1955-2-1-2	0	
catches	1955-2-1-3	0	
catches	1955-2-1-4	0	
catches	1955-2-2-0	0	
catches	1955-2-2-1	140	
catches	1955-2-2-2	387	
catches	1955-2-2-3	601	
catches	1955-2-2-4	22	
catches	1955-3-0-0	0	
catches	1955-3-0-1	56	
catches	1955-3-0-2	204	
catches	1955-3-0-3	67	
catches	1955-3-0-4	141	
catches	1955-3-1-0	0	
catches	1955-3-1-1	2250	
catches	1955-3-1-2	0	
catches	1955-3-1-3	0	
catches	1955-3-1-4	0	
catches	1955-3-2-0	0	
catches	1955-3-2-1	140	
catches	1955-3-2-2	387	
catches	1955-3-2-3	601	
catches	1955-3-2-4	40	
catches	1956-0-0-0	0	
catches	1956-0-0-1	57	
catches	1956-0-0-2	191	
catches	1956-0-0-3	69	
catches	1956-0-0-4	151	
catches	1956-0-1-0	0	
catches	1956-0-1-1	2250	
catches	1956-0-1-2	0	
catches	1956-0-1-3	0	
catches	1956-0-1-4	0	
catches	1956-0-2-0	0	
